Date : 2024-09-25 19:51:10
Directory : c:\Users\서보형\Desktop\git\pj2\pj2-front
Total : 307 files,  35493 codes, 1698 comments, 2311 blanks, all 39502 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\pages\acc_regist\acc_regist_intro                                                                                         |          2 |        104 |          6 |         16 |        126 |
| src\pages\acc_regist\acc_regist_lv0_app                                                                                       |          2 |        120 |         10 |         10 |        140 |
| src\pages\acc_regist\acc_regist_lv10_app                                                                                      |          2 |        255 |         19 |         21 |        295 |
| src\pages\acc_regist\acc_regist_lv11_app                                                                                      |          2 |        241 |         14 |         13 |        268 |
| src\pages\acc_regist\acc_regist_lv12_app                                                                                      |          2 |         64 |          2 |         10 |         76 |
| src\pages\acc_regist\acc_regist_lv1_app                                                                                       |          2 |        108 |         11 |         12 |        131 |
| src\pages\acc_regist\acc_regist_lv2_app                                                                                       |          2 |        108 |         11 |         11 |        130 |
| src\pages\acc_regist\acc_regist_lv3_app                                                                                       |          2 |        188 |         12 |         18 |        218 |
| src\pages\acc_regist\acc_regist_lv4_app                                                                                       |          2 |        122 |         12 |         11 |        145 |
| src\pages\acc_regist\acc_regist_lv5_app                                                                                       |          2 |        206 |         13 |         20 |        239 |
| src\pages\acc_regist\acc_regist_lv6_app                                                                                       |          2 |        269 |         16 |         25 |        310 |
| src\pages\acc_regist\acc_regist_lv7_app                                                                                       |          2 |        124 |         12 |         10 |        146 |
| src\pages\acc_regist\acc_regist_lv8_app                                                                                       |          2 |        205 |         15 |         22 |        242 |
| src\pages\acc_regist\acc_regist_lv9_app                                                                                       |          2 |        128 |         13 |         16 |        157 |
| src\pages\acc_regist\acc_regist_start                                                                                         |          2 |         61 |          4 |         12 |         77 |
| src\pages\acc_regist\hook_store                                                                                               |         22 |      1,099 |        257 |        188 |      1,544 |
| src\pages\acc_regist\hook_store\business_hooks                                                                                |         14 |        789 |        183 |        125 |      1,097 |
| src\pages\acc_regist\hook_store\style_hooks                                                                                   |          8 |        310 |         74 |         63 |        447 |
| src\pages\detail_info                                                                                                         |         18 |        854 |         59 |        145 |      1,058 |
| src\pages\detail_info\detail_info_app                                                                                         |         16 |        844 |         57 |        139 |      1,040 |
| src\pages\detail_info\detail_info_app\app                                                                                     |          2 |        162 |         15 |         23 |        200 |
| src\pages\detail_info\detail_info_app\sections                                                                                |         14 |        682 |         42 |        116 |        840 |
| src\pages\detail_info\detail_info_app\sections\det_sec1                                                                       |          4 |        315 |         20 |         46 |        381 |
| src\pages\detail_info\detail_info_app\sections\det_sec1 (Files)                                                               |          2 |        107 |          7 |         20 |        134 |
| src\pages\detail_info\detail_info_app\sections\det_sec1\sec1_payment                                                          |          2 |        208 |         13 |         26 |        247 |
| src\pages\detail_info\detail_info_app\sections\det_sec2                                                                       |          2 |         34 |          2 |          5 |         41 |
| src\pages\detail_info\detail_info_app\sections\det_sec3                                                                       |          2 |         92 |          8 |         18 |        118 |
| src\pages\detail_info\detail_info_app\sections\det_sec4                                                                       |          2 |        150 |          9 |         29 |        188 |
| src\pages\detail_info\detail_info_app\sections\det_sec5                                                                       |          2 |         40 |          1 |          8 |         49 |
| src\pages\detail_info\detail_info_app\sections\det_sec6                                                                       |          2 |         51 |          2 |         10 |         63 |
| src\pages\detail_info\hook_store                                                                                              |          2 |         10 |          2 |          6 |         18 |
| src\pages\detail_info\hook_store\business_hooks                                                                               |          1 |          0 |          0 |          1 |          1 |
| src\pages\detail_info\hook_store\style_hooks                                                                                  |          1 |         10 |          2 |          5 |         17 |
| src\pages\evaluation                                                                                                          |          2 |        178 |         15 |         36 |        229 |
| src\pages\main                                                                                                                |         30 |      1,080 |         72 |        147 |      1,299 |
| src\pages\main\creator-description                                                                                            |          2 |         88 |          3 |          8 |         99 |
| src\pages\main\event-swiper                                                                                                   |          2 |         49 |          1 |         10 |         60 |
| src\pages\main\hook-store                                                                                                     |         12 |        170 |         16 |         38 |        224 |
| src\pages\main\hook-store\business-hooks                                                                                      |          6 |         90 |         12 |         17 |        119 |
| src\pages\main\hook-store\style-hooks                                                                                         |          6 |         80 |          4 |         21 |        105 |
| src\pages\main\lv1-description                                                                                                |          2 |         85 |          1 |          9 |         95 |
| src\pages\main\lv2-description                                                                                                |          2 |        139 |          3 |         17 |        159 |
| src\pages\main\lv3-description                                                                                                |          2 |        110 |         26 |         12 |        148 |
| src\pages\main\lv4-description                                                                                                |          2 |        149 |          5 |         19 |        173 |
| src\pages\main\lv5-description                                                                                                |          2 |        154 |          3 |         19 |        176 |
| src\pages\main\mainApp                                                                                                        |          2 |         98 |         13 |         10 |        121 |
| src\pages\main\search-description                                                                                             |          2 |         38 |          1 |          5 |         44 |
| src\pages\membership                                                                                                          |         19 |      1,415 |        197 |        181 |      1,793 |
| src\pages\membership\agree_app                                                                                                |          2 |        171 |         14 |         13 |        198 |
| src\pages\membership\email_prove_app                                                                                          |          2 |        204 |         14 |         13 |        231 |
| src\pages\membership\hook-store                                                                                               |          7 |        374 |        117 |         98 |        589 |
| src\pages\membership\hook-store\business-hooks                                                                                |          5 |        296 |        101 |         83 |        480 |
| src\pages\membership\hook-store\style-hooks                                                                                   |          2 |         78 |         16 |         15 |        109 |
| src\pages\membership\join_app                                                                                                 |          2 |        178 |         13 |         14 |        205 |
| src\pages\membership\join_complete_app                                                                                        |          2 |         74 |          4 |          8 |         86 |
| src\pages\membership\login_app                                                                                                |          2 |        126 |         17 |         16 |        159 |
| src\pages\membership\profile_app                                                                                              |          2 |        288 |         18 |         19 |        325 |
| src\pages\reservation                                                                                                         |          6 |        325 |         14 |         36 |        375 |
| src\pages\reservation\res-con                                                                                                 |          4 |        269 |         11 |         24 |        304 |
| src\pages\reservation\res-con\res-con-payment                                                                                 |          2 |         93 |          4 |          9 |        106 |
| src\pages\reservation\res-con\res-con-sec1                                                                                    |          2 |        176 |          7 |         15 |        198 |
| src\pages\reservation\reservationApp                                                                                          |          2 |         56 |          3 |         12 |         71 |
| src\pages\sub                                                                                                                 |          8 |        423 |         62 |         74 |        559 |
| src\pages\sub\hook-store                                                                                                      |          4 |        126 |         36 |         45 |        207 |
| src\pages\sub\hook-store\business-hooks                                                                                       |          2 |         80 |         20 |         24 |        124 |
| src\pages\sub\hook-store\style-hooks                                                                                          |          2 |         46 |         16 |         21 |         83 |
| src\pages\sub\subApp                                                                                                          |          2 |        125 |         11 |         13 |        149 |
| src\pages\sub\subList                                                                                                         |          2 |        172 |         15 |         16 |        203 |
| src\pages\terms                                                                                                               |         12 |        539 |         16 |         87 |        642 |
| src\pages\terms\creatorIntro                                                                                                  |          2 |        113 |          3 |         15 |        131 |
| src\pages\terms\hostTerms                                                                                                     |          2 |        100 |          4 |         17 |        121 |
| src\pages\terms\pageDevelope                                                                                                  |          2 |         51 |          1 |         12 |         64 |
| src\pages\terms\referToSite                                                                                                   |          2 |         79 |          2 |         13 |         94 |
| src\pages\terms\serviceTerms                                                                                                  |          2 |        100 |          4 |         19 |        123 |
| src\pages\terms\usingLibrary                                                                                                  |          2 |         96 |          2 |         11 |        109 |
| src\picture                                                                                                                   |         10 |        112 |          4 |         25 |        141 |
| src\picture\hazy-img                                                                                                          |          2 |         18 |          1 |          6 |         25 |
| src\picture\history-main                                                                                                      |          2 |         16 |          0 |          4 |         20 |
| src\picture\original_img                                                                                                      |          2 |         27 |          1 |          5 |         33 |
| src\picture\pastel-img                                                                                                        |          2 |         30 |          1 |          5 |         36 |
| src\picture\static-img                                                                                                        |          2 |         21 |          1 |          5 |         27 |
| src\redux                                                                                                                     |          6 |        161 |         33 |         31 |        225 |
| src\redux\config                                                                                                              |          1 |         17 |          6 |          6 |         29 |
| src\redux\modules                                                                                                             |          5 |        144 |         27 |         25 |        196 |
| src\router                                                                                                                    |          3 |        114 |         23 |         22 |        159 |
| src\router\conditional_router                                                                                                 |          1 |         31 |          3 |          5 |         39 |
| src\router\parameter_router                                                                                                   |          1 |         54 |         19 |         11 |         84 |
| src\router\private_router                                                                                                     |          1 |         29 |          1 |          6 |         36 |
| src\sessionStorage                                                                                                            |          1 |         45 |          6 |          7 |         58 |
| src\utilComponent                                                                                                             |         88 |      3,527 |        460 |        649 |      4,636 |
| src\utilComponent\Button                                                                                                      |         24 |        651 |        133 |        146 |        930 |
| src\utilComponent\Button\booleanBtn                                                                                           |          2 |         29 |          8 |          6 |         43 |
| src\utilComponent\Button\checkBtn                                                                                             |          2 |         60 |          6 |          9 |         75 |
| src\utilComponent\Button\filterBtn                                                                                            |          2 |         36 |          6 |          9 |         51 |
| src\utilComponent\Button\hook-store                                                                                           |          8 |        311 |         93 |         87 |        491 |
| src\utilComponent\Button\hook-store\business-hooks                                                                            |          4 |        254 |         87 |         75 |        416 |
| src\utilComponent\Button\hook-store\style-hooks                                                                               |          4 |         57 |          6 |         12 |         75 |
| src\utilComponent\Button\link_btn                                                                                             |          2 |         30 |          4 |          4 |         38 |
| src\utilComponent\Button\mainBtn                                                                                              |          2 |         25 |          0 |          4 |         29 |
| src\utilComponent\Button\priceBtn                                                                                             |          2 |        104 |         15 |         18 |        137 |
| src\utilComponent\Button\slideBtn                                                                                             |          4 |         56 |          1 |          9 |         66 |
| src\utilComponent\Button\slideBtn\Lslide-btn                                                                                  |          2 |         28 |          0 |          4 |         32 |
| src\utilComponent\Button\slideBtn\Rslide-btn                                                                                  |          2 |         28 |          1 |          5 |         34 |
| src\utilComponent\material                                                                                                    |         17 |        623 |         88 |        120 |        831 |
| src\utilComponent\material\card                                                                                               |          2 |        140 |         12 |         18 |        170 |
| src\utilComponent\material\congratulation                                                                                     |          2 |         53 |          6 |          8 |         67 |
| src\utilComponent\material\dropdown                                                                                           |          2 |        105 |         13 |         18 |        136 |
| src\utilComponent\material\hook-store                                                                                         |          7 |        204 |         45 |         64 |        313 |
| src\utilComponent\material\hook-store\business-hooks                                                                          |          3 |        128 |         30 |         38 |        196 |
| src\utilComponent\material\hook-store\style-hooks                                                                             |          4 |         76 |         15 |         26 |        117 |
| src\utilComponent\material\kakaomap                                                                                           |          2 |         30 |          6 |          5 |         41 |
| src\utilComponent\material\loading                                                                                            |          2 |         91 |          6 |          7 |        104 |
| src\utilComponent\menu                                                                                                        |         21 |      1,062 |        104 |        179 |      1,345 |
| src\utilComponent\menu\footer                                                                                                 |          2 |        120 |          5 |         13 |        138 |
| src\utilComponent\menu\hook-store                                                                                             |          7 |        149 |         45 |         56 |        250 |
| src\utilComponent\menu\hook-store\business-hooks                                                                              |          4 |        111 |         38 |         39 |        188 |
| src\utilComponent\menu\hook-store\style-hooks                                                                                 |          3 |         38 |          7 |         17 |         62 |
| src\utilComponent\menu\host-footer                                                                                            |          2 |         65 |         11 |          8 |         84 |
| src\utilComponent\menu\main-menu                                                                                              |          2 |        162 |         16 |         27 |        205 |
| src\utilComponent\menu\pri-side-menu                                                                                          |          2 |         38 |          2 |          9 |         49 |
| src\utilComponent\menu\search-menu                                                                                            |          4 |        378 |         18 |         42 |        438 |
| src\utilComponent\menu\search-menu (Files)                                                                                    |          2 |         99 |          3 |         10 |        112 |
| src\utilComponent\menu\search-menu\search                                                                                     |          2 |        279 |         15 |         32 |        326 |
| src\utilComponent\menu\side-menu                                                                                              |          2 |        150 |          7 |         24 |        181 |
| src\utilComponent\modal                                                                                                       |         26 |      1,191 |        135 |        204 |      1,530 |
| src\utilComponent\modal\authModal                                                                                             |          2 |        111 |          2 |         16 |        129 |
| src\utilComponent\modal\evaluModal                                                                                            |          4 |        177 |         13 |         31 |        221 |
| src\utilComponent\modal\evaluModal (Files)                                                                                    |          2 |        131 |          8 |         21 |        160 |
| src\utilComponent\modal\evaluModal\evalu_star                                                                                 |          2 |         46 |          5 |         10 |         61 |
| src\utilComponent\modal\hook-store                                                                                            |          6 |        178 |         55 |         55 |        288 |
| src\utilComponent\modal\hook-store\business-hooks                                                                             |          2 |         55 |         19 |         15 |         89 |
| src\utilComponent\modal\hook-store\style-hooks                                                                                |          4 |        123 |         36 |         40 |        199 |
| src\utilComponent\modal\hostTextModal                                                                                         |          2 |         95 |          5 |         18 |        118 |
| src\utilComponent\modal\img_dis_modal                                                                                         |          2 |        158 |         12 |         17 |        187 |
| src\utilComponent\modal\img_regist_modal                                                                                      |          2 |        183 |         18 |         22 |        223 |
| src\utilComponent\modal\logModal                                                                                              |          2 |         57 |          1 |          8 |         66 |
| src\utilComponent\modal\mapModal                                                                                              |          2 |        147 |         19 |         14 |        180 |
| src\utilComponent\modal\overay                                                                                                |          2 |         31 |          7 |          6 |         44 |
| src\utilComponent\modal\replyModal                                                                                            |          2 |         54 |          3 |         17 |         74 |
| src\utilData                                                                                                                  |         10 |        971 |        132 |        132 |      1,235 |
| src\utilData (Files)                                                                                                          |          3 |        720 |        116 |         87 |        923 |
| src\utilData\dateCalendar                                                                                                     |          3 |        155 |          9 |         31 |        195 |
| src\utilData\dateCalendar (Files)                                                                                             |          2 |        116 |          8 |         22 |        146 |
| src\utilData\dateCalendar\dates                                                                                               |          1 |         39 |          1 |          9 |         49 |
| src\utilData\slice                                                                                                            |          2 |         37 |          2 |          9 |         48 |
| src\utilData\userImg                                                                                                          |          2 |         59 |          5 |          5 |         69 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                      | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\서보형\Desktop\git\pj2\pj2-front\README.md                                                                              | Markdown   |         29 |          0 |         10 |         39 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\memo.md                                                                                | Markdown   |        236 |          0 |         51 |        287 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\package-lock.json                                                                      | JSON       |     20,098 |          0 |          1 |     20,099 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\package.json                                                                           | JSON       |         59 |          0 |          1 |         60 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\public\index.html                                                                      | HTML       |         21 |          5 |          3 |         29 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\public\manifest.json                                                                   | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\public\timer_worker.js                                                                 | JavaScript |         18 |          2 |          9 |         29 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\rules.md                                                                               | Markdown   |         39 |          0 |         12 |         51 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\App.js                                                                             | JavaScript |        102 |         37 |         15 |        154 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\App.scss                                                                           | SCSS       |         37 |          1 |          0 |         38 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\App.test.js                                                                        | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\Browser.js                                                                         | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\ScrollTop.js                                                                       | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\context\img_context\config\img_context.js                                          | JavaScript |          2 |          0 |          2 |          4 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\context\img_context\context_state_hooks\img_context_states_hook.js                 | JavaScript |         14 |          3 |          3 |         20 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\context\img_context\img_provider\img_provider.js                                   | JavaScript |         19 |          2 |          3 |         24 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\firebase\firebase.js                                                               | JavaScript |         37 |          3 |          4 |         44 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\index.js                                                                           | JavaScript |          7 |          0 |          8 |         15 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\commonness\_colors.scss                                          | SCSS       |         40 |         11 |          5 |         56 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\commonness\commonness.scss                                       | SCSS       |        123 |         32 |         19 |        174 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\responsible\material\card.scss                                   | SCSS       |         10 |          2 |         11 |         23 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\responsible\subApp\subApp.scss                                   | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\responsible\subApp\subList.scss                                  | SCSS       |         98 |          8 |          7 |        113 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-history\Private-history.css                                  | CSS        |         69 |          2 |          6 |         77 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-history\Private-history.js                                   | JavaScript |        100 |          7 |         18 |        125 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-management\Private-management.css                            | CSS        |         79 |          4 |          4 |         87 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-management\Private-management.js                             | JavaScript |         82 |          5 |         13 |        100 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-message\Private-message.css                                  | CSS        |         29 |          0 |          0 |         29 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-message\Private-message.js                                   | JavaScript |         26 |          0 |          2 |         28 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-point\Private-point.css                                      | CSS        |         34 |          2 |          2 |         38 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-point\Private-point.js                                       | JavaScript |         42 |          1 |         17 |         60 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-wish\Private-wish.css                                        | CSS        |         31 |          2 |          3 |         36 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-wish\Private-wish.js                                         | JavaScript |         26 |          0 |          9 |         35 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_initial_app\acc_initial.js                                    | JavaScript |        111 |          5 |          9 |        125 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_initial_app\acc_initial.scss                                  | SCSS       |         70 |          4 |          2 |         76 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_initial_regist_app\acc_initial_regist.js                      | JavaScript |        106 |          4 |          7 |        117 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_initial_regist_app\acc_initial_regist.scss                    | SCSS       |        127 |          7 |          7 |        141 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_manage\Acc_manage.css                                         | CSS        |         63 |          3 |          7 |         73 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_manage\Acc_manage.js                                          | JavaScript |         63 |          2 |          7 |         72 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_registApp\Acc_regist.js                                       | JavaScript |        113 |          2 |         18 |        133 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_registApp\acc_regist.scss                                     | SCSS       |         94 |          4 |          6 |        104 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_intro\Acc_regist_intro.css                             | CSS        |         56 |          4 |          5 |         65 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_intro\Acc_regist_intro.js                              | JavaScript |         48 |          2 |         11 |         61 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv0_app\Acc_regist_lv0.js                              | JavaScript |         72 |          4 |          5 |         81 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv0_app\Acc_regist_lv0.scss                            | SCSS       |         48 |          6 |          5 |         59 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv10_app\Acc_regist_lv10.js                            | JavaScript |        169 |         15 |         13 |        197 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv10_app\Acc_regist_lv10.scss                          | SCSS       |         86 |          4 |          8 |         98 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv11_app\Acc_regist_lv11.js                            | JavaScript |        166 |         12 |          9 |        187 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv11_app\Acc_regist_lv11.scss                          | SCSS       |         75 |          2 |          4 |         81 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv12_app\Acc_regist_lv12.js                            | JavaScript |         29 |          0 |          6 |         35 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv12_app\Acc_regist_lv12.scss                          | SCSS       |         35 |          2 |          4 |         41 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv1_app\Acc_regist_lv1.js                              | JavaScript |         69 |         10 |          7 |         86 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv1_app\Acc_regist_lv1.scss                            | SCSS       |         39 |          1 |          5 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv2_app\Acc_regist_lv2.js                              | JavaScript |         71 |         11 |          8 |         90 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv2_app\Acc_regist_lv2.scss                            | SCSS       |         37 |          0 |          3 |         40 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv3_app\Acc_regist_lv3.js                              | JavaScript |        127 |         12 |         12 |        151 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv3_app\Acc_regist_lv3.scss                            | SCSS       |         61 |          0 |          6 |         67 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv4_app\Acc_regist_lv4.js                              | JavaScript |         88 |         12 |          7 |        107 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv4_app\Acc_regist_lv4.scss                            | SCSS       |         34 |          0 |          4 |         38 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv5_app\Acc_regist_lv5.js                              | JavaScript |        120 |         11 |         11 |        142 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv5_app\Acc_regist_lv5.scss                            | SCSS       |         86 |          2 |          9 |         97 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv6_app\Acc_regist_lv6.js                              | JavaScript |        149 |         12 |         10 |        171 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv6_app\Acc_regist_lv6.scss                            | SCSS       |        120 |          4 |         15 |        139 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv7_app\Acc_regist_lv7.js                              | JavaScript |         88 |         12 |          7 |        107 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv7_app\Acc_regist_lv7.scss                            | SCSS       |         36 |          0 |          3 |         39 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv8_app\Acc_regist_lv8.js                              | JavaScript |        124 |         12 |         11 |        147 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv8_app\Acc_regist_lv8.scss                            | SCSS       |         81 |          3 |         11 |         95 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv9_app\Acc_regist_lv9.js                              | JavaScript |         83 |         12 |         10 |        105 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_lv9_app\Acc_regist_lv9.scss                            | SCSS       |         45 |          1 |          6 |         52 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_start\Acc_regist_start.css                             | CSS        |         26 |          0 |          3 |         29 |
